"Respondent Number","Date","Time","Channel","What is your job title?","How many years of experience do you have?","What is your current work situation?","If you are employed by a company, are you:","How would you classify your company?","Are you:","Who do you work with on a regular basis?","Are you co-located with developers?","Please share any other details about your employment that you think might be relevant to this survey.","In which of the following skills do you consider yourself to be competent?","What technologies can you use competently?","In which of these activities do you regularly participate?","Are there any other skills or experience that you think may be relevant to this survey?","Do you use issue tracking software (e.g. JIRA, Bugzilla)? If so, what for?","Do you use version control software (e.g. Subversion, GitHub)? If so, what for?","To what degree are you consulted by developers?","Are there management-sanctioned processes in place that require design involvement in all UI work? If so, please explain.","Do you work directly in the production code base?","Do you participate in code reviews?","Do developers participate in design activities? If so, please explain.","What kind of relationship do you have with the developers you work with?","Please provide any other information you feel is relevant to this survey."
10,"2011/13/12","09:41:36","Working with Developers Survey","graphics designer","10","Large Company (more than 100 employees)","Doing work on your own company's products/services","Software development firm","Part of a small design team","Visual Designers, Back End Developers, Software Architects","Yes, in the same building.","","Visual design, User interface design","HTML, CSS, Other, please specify (Adobe Photoshop, Corel Draw)","Wireframe creation, Screen rendering (e.g. pixel-perfect mockups)","","The developers use it, but I do not.","Nobody at my company uses it.","Rarely. I pass my designs over the wall.","","No","No","","They respect my skills and value my contributions., I respect their skills and value their input., It is a purely business relationship.",""
11,"2011/13/12","10:46:48","Working with Developers Survey","Software Engineer","6","Large Company (more than 100 employees)","Doing work on your own company's products/services","Software development firm","Other, please specify (Software Engineer with regular drifts to UI and design because no one else really cares)","Back End Developers, Software Architects","Yes, in the same room.","","Interaction design, User interface design, Usability evaluation, UI implementation","C#, .NET, XML, Other, please specify (WPF/XAML)","Implementation (e.g. writing production HTML and CSS)), Bug reporting, Bug fixing","","I am assigned tasks by other members of my team through it., I create tasks for myself in it., I report bugs in it., I receive bug reports to be fixed through it., I attach design deliverables to tasks/issues in it.","I use it for version control of my production code.","Other, please specify (I try to get the developers to understand my reasoning and find a common ground)","","No","Yes","Everybody has their opinion concerning UI design and wants to share it, so I see my main task in keeping opinions out and trying to get convincing data instead.","We do things together socially at work (e.g. have lunch)., They respect my skills and value my contributions., I respect their skills and value their input., It is a purely business relationship., They consider me to be the one that \"makes things pretty\"., They have no respect for, or understanding of, what I do.",""
12,"2011/13/12","10:58:25","Working with Developers Survey","Sr. Interaction Designer","20+","Other, please specify (null)","Other, please specify (null)","Other, please specify (null)","Other, please specify (null)","Visual Designers, Information Architects, Industrial Designers, Interaction Designers, Service Designers, Usability Researchers, Front End Developers, Back End Developers, Software Prototypers, Software Architects","Yes, in the same room.","","Information architecture, Interaction design, User interface design, Usability evaluation, UI specification, UI prototyping, Other, please specify (null)","HTML, CSS, ActionScript, Python, Processing, XML, Other, please specify (null)","User research, Requirements analysis, Wireframe creation, UI sketching, Screen rendering (e.g. pixel-perfect mockups), Physical prototyping (e.g. paper), Digital prototyping (e.g. HTML, Flash), Design documentation, Usability testing, Bug reporting","","I am assigned tasks by other members of my team through it., I create tasks for myself in it., I create tasks for other team members in it., Other, please specify (null)","I use it for version control of my design deliverables., I use it for version control of my prototype code.","I work integrally with the developers throughout all project phases.","","No","No","yes. it's an interdisciplinary process.","I consider some of them to be good friends., We do things together socially outside of work., We do things together socially at work (e.g. have lunch)., They respect my skills and value my contributions., I respect their skills and value their input.",""
13,"2011/13/12","11:05:28","Working with Developers Survey","User experience designer ","15","Large Company (more than 100 employees)","Doing work on your own company's products/services","Software development firm","Part of a large design group","Front End Developers, Back End Developers, Software Architects, Other, please specify (Release team, product managers, test, support)","Other, please specify (Global distributed organization)","","Visual design, Information architecture, Interaction design, User interface design, Usability evaluation, UI specification, UI prototyping","HTML, CSS","User research, Requirements analysis, Wireframe creation, UI sketching, Screen rendering (e.g. pixel-perfect mockups), Physical prototyping (e.g. paper), Usability testing, Bug reporting","","I am assigned tasks by other members of my team through it., I create tasks for myself in it., I create tasks for other team members in it., I use it to record effort estimates and/or time tracking., I report bugs in it., I attach design deliverables to tasks/issues in it., Other, please specify (Planning, story mapping)","The developers use it, but I do not.","Developers regularly come to me with questions during implementation.","Formal process that includes ux contribution ","No","No","Code first, then adapt code to one specified design :)","I respect their skills and value their input., It is a purely business relationship., i intimidate them., They consider me to be the one that \"makes things pretty\"., They have no respect for, or understanding of, what I do., Other, please specify (All Chinese development team, I'm western, so cultural issues emerge)",""
14,"2011/13/12","11:41:45","Working with Developers Survey","User Experience Manager","18","Small Company (100 employees or less)","Working on an external client's products/services","Software development firm","Part of a small design team","Back End Developers","Yes, in the same room.","Innovate product design software developers","Visual design, Information architecture, Interaction design, User interface design, Usability evaluation, UI specification, UI prototyping","Prototype, Other, please specify (Visual Graphics)","User research, Requirements analysis, Wireframe creation, UI sketching, Screen rendering (e.g. pixel-perfect mockups), Physical prototyping (e.g. paper), Functional testing","","Nobody at my company uses it.","Nobody at my company uses it.","Rarely. I pass my designs over the wall.","Only CEO to the company","No","No","In the Funtional Requirements","I consider some of them to be good friends., I respect their skills and value their input.",""
15,"2011/13/12","11:48:51","Working with Developers Survey","Generalising Specialist","16 (I'm assuming you're asking about experience in UX)","Small Company (100 employees or less)","Other, please specify (All of the above)","Other, please specify (Consulting company, with product dev on the side. We have a strong UX _and_ dev focus.)","Other, please specify (one of multiple people in org who have design skills - but we do not call ourself \"a design team\" - we have product/project teams that include one or more designers)","Visual Designers, Information Architects, Interaction Designers, Usability Researchers, Front End Developers, Back End Developers, Software Prototypers, Software Architects","Other, please specify (We share a room, we sometimes share a desk)","Very strong focus on agile development.","Information architecture, Interaction design, Usability evaluation, UI specification, UI prototyping, UI implementation, Other, please specify (development)","HTML, CSS, jQuery, X library, Ruby, Python, Perl, PHP, Objective-C","User research, Requirements analysis, Wireframe creation, UI sketching, Physical prototyping (e.g. paper), Digital prototyping (e.g. HTML, Flash), Design documentation, Implementation (e.g. writing production HTML and CSS)), Functional testing, Usability testing, Bug reporting, Bug fixing, Writing of user guides or training materials","","I am assigned tasks by other members of my team through it., I create tasks for myself in it., I create tasks for other team members in it., I report bugs in it., I receive bug reports to be fixed through it., I attach design deliverables to tasks/issues in it., Other, please specify (We use a variety of software tools depending onthe client, but we use a master system on the wall based on index cards & stickies to prioritise generally)","I use it for version control of my design deliverables., I use it for version control of my prototype code., I use it for version control of my production code.","I work integrally with the developers throughout all project phases.","The company was founded around the idea of deep UX/dev integration :)","Yes","Other, please specify (We don't have formal code reviews)","Devs involved at all stages from initial research to final delivery and user testing.","I consider some of them to be good friends., We do things together socially outside of work., We do things together socially at work (e.g. have lunch)., They respect my skills and value my contributions., I respect their skills and value their input.",""
16,"2011/13/12","12:14:32","Working with Developers Survey","Experience Designer","9","Large Company (more than 100 employees)","Doing work on your own company's products/services","Software development firm","Part of a large design group","Front End Developers, Back End Developers, Software Architects","Yes, in the same building.","","Information architecture, Interaction design, User interface design","","Wireframe creation, UI sketching, Screen rendering (e.g. pixel-perfect mockups), Physical prototyping (e.g. paper), Design documentation","","I report bugs in it., I receive bug reports to be fixed through it.","The developers use it, but I do not.","Developers regularly come to me with questions during implementation.","Yes. The designer drives a few features, reviews and suggests recommendations for some other features.","No","No","Some feedback sessions. Discussions and wireframing in initial stages.","They respect my skills and value my contributions., I respect their skills and value their input., They consider me to be the one that \"makes things pretty\".",""
17,"2011/13/12","12:48:48","Working with Developers Survey","","","","","","","","","","","","","","","","","","","","","",""
18,"2011/13/12","13:29:16","Working with Developers Survey","Web Experience Specialist (ick!)","11","Small Company (100 employees or less)","Doing work on your own company's products/services","Software development firm","The only designer","Visual Designers, Front End Developers, Back End Developers","Yes, in the same room.","This is the second job I've had working as a interface designer embedded with a agile development team and it is fraught with perils, too many to list here. The job of \"selling it\" is also ever-present and not one I particularly care for.","Information architecture, Interaction design, User interface design, Usability evaluation, UI specification, UI prototyping, UI implementation, Other, please specify (Front and back end development)","HTML, CSS, JavaScript, jQuery, PHP","User research, Requirements analysis, Wireframe creation, UI sketching, Design documentation, Implementation (e.g. writing production HTML and CSS)), Usability testing","While I don't currently do much back end development, I come from a programming background and have two comp sci degrees.","I create tasks for other team members in it., I report bugs in it.","The developers use it, but I do not.","Developers regularly come to me with questions during implementation.","In theory, yes. In practice, however, it's very inconsistent. One sprint might have continual input from \"design\" while another might be only upfront with changes throughout based on what the developers do/don't like.","No","No","Yes, in both good and bad ways. They are involved in the front-end design process, giving feedback on potential implementation problems and such. But they also are prone to giving feedback during implementation that makes their lives easier but has a negative impact on the user experience.","I consider some of them to be good friends., We do things together socially outside of work., We do things together socially at work (e.g. have lunch)., I respect their skills and value their input., They have no respect for, or understanding of, what I do., Other, please specify (It's the full range, depending on the developer.)","It seems to be a matter of how long people have been here. The folks who have been here longer seem to resent my addition to the team and cause the most problems. The newer people don't seem to have a problem with my work."
19,"2011/13/12","14:00:52","Working with Developers Survey","User Experience Designer","6","Large Company (more than 100 employees)","Doing work on your own company's products/services","Other, please specify (e-retailer)","The only designer","Visual Designers, Front End Developers","Yes, in the same building.","","Visual design, Information architecture, Interaction design, User interface design, Usability evaluation, UI specification","HTML, CSS, Prototype","User research, Requirements analysis, Wireframe creation, UI sketching, Screen rendering (e.g. pixel-perfect mockups), Physical prototyping (e.g. paper), Design documentation, Functional testing, Usability testing, Bug reporting, Writing of user guides or training materials","","I am assigned tasks by other members of my team through it.","The developers use it, but I do not.","We work together during the design phase, but I don't have much input during implementation.","lead developer has final say on UI","No","No","we collaborate fairly regularly especially if I hit a 'block'","I respect their skills and value their input., They intimidate me., They consider me to be the one that \"makes things pretty\"., They have no respect for, or understanding of, what I do.","Its the old school developers who are the hardest to work with. it seems like from their view point there is no reason why they shouldn't be doing the design work."
20,"2011/13/12","14:04:15","Working with Developers Survey","Interaction Designer","4","Other, please specify (Medium company, 189 employees)","Doing work on your own company's products/services","Software development firm","Part of a small design team","Front End Developers, Back End Developers, Software Architects","Yes, in the same building.","","Information architecture, Usability evaluation","","User research, Wireframe creation, UI sketching, Usability testing, Bug reporting","Presentation skills are a must...have to be able to communicate findings, design rationale, etc.","I report bugs in it.","The developers use it, but I do not.","I work integrally with the developers throughout all project phases.","","No","No","They give feedback on my design concepts","We do things together socially outside of work., We do things together socially at work (e.g. have lunch)., I respect their skills and value their input.",""
21,"2011/13/12","14:07:17","Working with Developers Survey","Senior Information Architect","7","Freelance / Contract","","Other, please specify (Publishing)","Part of a small design team","Visual Designers, Information Architects, Front End Developers, Back End Developers, Software Architects, Other, please specify (Business Analysts, Project Managers)","Yes, in the same room.","","Information architecture, Interaction design, Usability evaluation, UI prototyping","HTML, CSS","User research, Requirements analysis, Wireframe creation, UI sketching, Physical prototyping (e.g. paper), Design documentation, Usability testing, Bug reporting","","I am assigned tasks by other members of my team through it., I use it to record effort estimates and/or time tracking., I report bugs in it., I receive bug reports to be fixed through it., I attach design deliverables to tasks/issues in it.","The developers use it, but I do not.","Developers regularly come to me with questions during implementation.","Not formal processes, but we're moving toward that.","No","No","They participate in initial concept and design reviews.","We do things together socially at work (e.g. have lunch)., They respect my skills and value my contributions., I respect their skills and value their input.",""
22,"2011/13/12","14:10:20","Working with Developers Survey","","","","","","","","","","","","","","","","","","","","","",""
23,"2011/13/12","14:14:13","Working with Developers Survey","Co-founder, principal","13","Small Company (100 employees or less)","","UX/Design firm","Part of a small design team","Visual Designers, Front End Developers, Software Architects","No.","","Visual design, Information architecture, Interaction design, User interface design, Usability evaluation, UI specification, UI prototyping","HTML, CSS","User research, Wireframe creation, UI sketching, Screen rendering (e.g. pixel-perfect mockups), Physical prototyping (e.g. paper), Digital prototyping (e.g. HTML, Flash), Design documentation, Usability testing","","The developers use it, but I do not.","The developers use it, but I do not.","Developers regularly come to me with questions during implementation.","","No","No","They review wireframes and consult on development impact","They respect my skills and value my contributions., I respect their skills and value their input.",""
24,"2011/13/12","14:19:17","Working with Developers Survey","User Experience Designer","8+","Large Company (more than 100 employees)","Working on an external client's products/services","Other, please specify (Advertising Agency)","Part of a large design group","Visual Designers, Front End Developers, Back End Developers","Yes, in the same room.","","Visual design, Information architecture, Interaction design, User interface design, Usability evaluation, UI specification","HTML, CSS, ActionScript, PHP","Requirements analysis, Wireframe creation, UI sketching, Physical prototyping (e.g. paper), Design documentation","Creative Thinking","The developers use it, but I do not., I report bugs in it.","Nobody at my company uses it.","I work integrally with the developers throughout all project phases.","","No","No","","We do things together socially at work (e.g. have lunch)., They respect my skills and value my contributions., I respect their skills and value their input.",""
25,"2011/13/12","14:24:20","Working with Developers Survey","Principal | Co-founder | Interaction & Visual Designer","5","Other, please specify (partner in a 2 person consultancy)","Working on an external client's products/services","UX/Design firm","Part of a small design team","Visual Designers, Information Architects, Interaction Designers, Usability Researchers, Front End Developers, Back End Developers","Other, please specify (Developers are at our client sites. How much we interact with them is project specific)","I spent some time in a software firm sitting next to developers and working with them hand in hand. What I learned in this situation has proved incredibly valuable in my new consulting environment.

Whenever possible, we try and have developers involved throughout our entire research and design process and provide implementation support. This arrangement is, of course, dependent on client needs and budget.","Visual design, Information architecture, Interaction design, User interface design, Usability evaluation, UI specification","HTML, CSS","User research, Requirements analysis, Wireframe creation, UI sketching, Screen rendering (e.g. pixel-perfect mockups), Design documentation, Usability testing","","","","","","","","","",""
26,"2011/13/12","14:24:38","Working with Developers Survey","Interaction Designer","4 in this position, 15 overall","Large Company (more than 100 employees)","Working on an external client's products/services","Software development firm","Part of a small design team","Visual Designers, Interaction Designers, Front End Developers, Back End Developers, Software Architects","Yes, in the same room.","Our company is very project-focused, and each project requires a different set of skills, a different team, and a different way of working.","Information architecture, Interaction design, User interface design, Usability evaluation, UI specification, UI prototyping","","User research, Requirements analysis, Wireframe creation, UI sketching, Screen rendering (e.g. pixel-perfect mockups), Physical prototyping (e.g. paper), Digital prototyping (e.g. HTML, Flash), Design documentation, Usability testing, Bug reporting, Writing of user guides or training materials","","I report bugs in it., I receive bug reports to be fixed through it.","The developers use it, but I do not.","Other, please specify (Depends on the project.)","Not all, but most.","No","No","We consult them on technical matters (e.g. given the framework they're using for this project, how easy is it to implement a particular feature?)","They respect my skills and value my contributions., I respect their skills and value their input., It is a purely business relationship.",""
27,"2011/13/12","14:25:18","Working with Developers Survey","User Experience Engineer","2","Large Company (more than 100 employees)","Doing work on your own company's products/services","Software development firm","The only designer","Visual Designers, Front End Developers, Other, please specify (product management, business analysts, QA)","Yes, in the same building.","I work very closely with developers, reviewing the screenshots every step of the way to ensure consistency with the design and work together through the compromises that might need to be made. This sometimes accounts for 25% of my job. 
","Information architecture, Interaction design, User interface design, Usability evaluation, UI specification, UI prototyping","HTML, CSS","Wireframe creation, UI sketching, Design documentation, Usability testing, Bug reporting","","I am assigned tasks by other members of my team through it., I create tasks for other team members in it., I report bugs in it., I attach design deliverables to tasks/issues in it.","Other, please specify (Developers use it, I use it sometimes when it's easier for me to fix some alignment or font size in the code then explain the developer what exactly is wrong and how to fix it.)","Developers regularly come to me with questions during implementation.","","Other, please specify (rarely for minor fixes as explained above)","No","","I consider some of them to be good friends., We do things together socially outside of work., We do things together socially at work (e.g. have lunch)., They respect my skills and value my contributions., I respect their skills and value their input.",""
28,"2011/13/12","14:26:56","Working with Developers Survey","Communication Designer","4+","Large Company (more than 100 employees)","Doing work on your own company's products/services","Other, please specify (Large medical product development)","Part of a small design team","Visual Designers, Industrial Designers, Front End Developers, Back End Developers, Software Architects","Yes, in the same building.","","Visual design, Information architecture, Interaction design, User interface design, UI specification, UI prototyping","ActionScript","User research, Wireframe creation, UI sketching, Screen rendering (e.g. pixel-perfect mockups), Physical prototyping (e.g. paper), Digital prototyping (e.g. HTML, Flash), Functional testing","","The developers use it, but I do not.","The developers use it, but I do not.","Developers regularly come to me with questions during implementation.","No.","No","No","No.","We do things together socially at work (e.g. have lunch)., They respect my skills and value my contributions., I respect their skills and value their input., They consider me to be the one that \"makes things pretty\".",""
29,"2011/13/12","14:30:46","Working with Developers Survey","Marketing Manager","6","Small Company (100 employees or less)","Doing work on your own company's products/services","Other, please specify (Medical Equipment )","Part of a small design team","Front End Developers, Back End Developers, Software Prototypers, Software Architects","Yes, in the same building.","","Visual design, Interaction design, User interface design, Usability evaluation, UI specification, UI prototyping, UI implementation, Other, please specify (Marketing)","HTML, CSS, JavaScript, Java, PHP, Visual Basic, Visual C++, XML","User research, Wireframe creation, UI sketching, Screen rendering (e.g. pixel-perfect mockups), Physical prototyping (e.g. paper), Digital prototyping (e.g. HTML, Flash), Design documentation, Implementation (e.g. writing production HTML and CSS)), Functional testing, Usability testing, Writing of user guides or training materials, Other, please specify (Marketing Materials)","","I am assigned tasks by other members of my team through it., I create tasks for other team members in it., I report bugs in it., I receive bug reports to be fixed through it.","The developers use it, but I do not.","I work integrally with the developers throughout all project phases.","We require a user interface requirements document to accompany a project close to it's initiation. This is a collaborative effort between the design and software teams. ","No","No","They help steer the design in the directions their tools allow. So there is a lot of compromise. ","We do things together socially at work (e.g. have lunch)., They respect my skills and value my contributions., I respect their skills and value their input., It is a purely business relationship.",""
30,"2011/13/12","14:35:59","Working with Developers Survey","Sr. UX designer","13","Large Company (more than 100 employees)","Other, please specify (Both of those)","Other, please specify (Software product)","Part of a large design group","Visual Designers, Interaction Designers, Usability Researchers, Front End Developers, Back End Developers, Software Architects","No.","","Information architecture, Interaction design, User interface design, UI specification","HTML, CSS","Requirements analysis, Wireframe creation, UI sketching, Design documentation, Functional testing, Usability testing, Bug reporting","Product planning","I am assigned tasks by other members of my team through it., I create tasks for myself in it., I create tasks for other team members in it., I use it to record effort estimates and/or time tracking., I report bugs in it., I receive bug reports to be fixed through it.","The developers use it, but I do not.","Developers regularly come to me with questions during implementation.","No","No","No","Yes, for both ideas and feasibility discussions","We do things together socially at work (e.g. have lunch)., They respect my skills and value my contributions., I respect their skills and value their input., Other, please specify (Some issues around understanding and respect.)",""
31,"2011/13/12","15:06:13","Working with Developers Survey","UI Designer","11","Small Company (100 employees or less)","Doing work on your own company's products/services","Other, please specify (Marketing service)","The only designer","Visual Designers, Front End Developers, Back End Developers, Software Architects, Other, please specify (QA, Product Board)","Yes, in the same room.","My job title is just a label that was created for the job listing. My responsibilities are closer to interaction designer + product manager + junior developer.
","Interaction design","HTML, CSS, ActionScript, JavaScript, Java, PHP, C#, .NET, XML, XSLT, Other, please specify (Struts, SQL)","Requirements analysis, Wireframe creation, UI sketching, Design documentation, Implementation (e.g. writing production HTML and CSS)), Functional testing, Usability testing, Bug reporting, Bug fixing, Writing of user guides or training materials","For question 11: I haven't built them from scratch in a long time (found developers smarter than me), however I know how to read the code and make adjustments as needed.
","I report bugs in it., I receive bug reports to be fixed through it., I attach design deliverables to tasks/issues in it.","I use it for version control of my production code., Other, please specify (null)","I work integrally with the developers throughout all project phases.","We have a bi-weekly product board meeting to discuss features and releases. 
","Yes","No","","I consider some of them to be good friends., We do things together socially outside of work., We do things together socially at work (e.g. have lunch)., They respect my skills and value my contributions., I respect their skills and value their input.","Our department has been bootstrapping for over a year, so we've learned a little about what everyone else does. That allowed me to get back into development and have them be part of the design process."
